修读状态,成绩学年,学期,课程号,课程名称,学时,课程性质,学分,课程类别,最大成绩,绩点,成绩,补考,重修,建议修读学年,建议修读学期,课程重要性系数,注释
完成,2024-2025,2,011522007,MySQL数据库应用,理论(4.0)-上机(2.0),必修课,4,专业基础课,96,4.6,96,否,否,2024-2025,2,1,
完成,2024-2025,2,011522022,多媒体技术应用,理论(4.0)-上机(4.0),必修课,2,专业基础课,95,4.5,95,否,否,2024-2025,2,1,
完成,2024-2025,2,011524025,计算机网络基础,理论(4.0)-上机(4.0),必修课,3,专业基础课,91,4.1,91,否,否,2024-2025,2,1,
完成,2024-2025,2,011534011,HTML5网页设计及应用,理论(4.0),必修课,4,专业基础课,95,4.5,95,否,否,2024-2025,2,1,
完成,2024-2025,2,011534026,Windows Server系统管理,理论(4.0)-上机(4.0),必修课,3.5,专业课,84,3.4,84,否,否,2024-2025,2,,
完成,2025-2026,1,011534009,Linux操作系统,理论(4.0),必修课,4,专业课,99,4.9,99,否,否,2025-2026,1,,
完成,2025-2026,1,011534010,路由交换技术,理论(4.0),必修课,4.5,专业课,95,4.5,95,否,否,2025-2026,1,,
完成,2025-2026,1,011534027,Linux服务器配置与管理,理论(4.0)-上机(4.0),必修课,3,专业课,99,4.9,99,否,否,2025-2026,1,,
完成,2025-2026,1,011534030,脚本语言开发技术,理论(4.0)-上机(4.0),必修课,3.5,专业课,92,4.2,92,否,否,2025-2026,1,1,
完成,2025-2026,2,011534014,网络系统集成,理论(4.0),必修课,3.5,专业课,76,2.6,76,否,否,2025-2026,2,,
完成,2025-2026,2,011534028,无线局域网组建,理论(2.0)-上机(2.0),必修课,2,专业课,68,1.8,68,否,否,2025-2026,2,1,
完成,2025-2026,2,011534029,网络安全技术,理论(4.0)-上机(4.0),必修课,3.5,专业课,88,3.8,88,否,否,2025-2026,2,,
完成,2025-2026,1,011563020,Web应用开发实训,实训(30.0),必修课,1,综合实践课,优秀,4.5,优秀,否,否,2025-2026,1,,
完成,2025-2026,2,011543031,网络技术综合实训,实训(30.0),必修课,1,综合实践课,中等,2.5,中等,否,否,2025-2026,2,1,
完成,2025-2026,2,011543032,企业岗位认知实训,实训(30.0),必修课,1,综合实践课,85,3.5,85,否,否,2025-2026,2,1,
在读,2026-2027,1,011543088,岗位实习,实训(30.0),必修课,12,综合实践课,在读,在读,在读,-,-,2026-2027,1,1,
未修,未修,未修,011543016,毕业实践(报告),实训(30.0),必修课,6,综合实践课,未修,未修,未修,未修,未修,2026-2027,2,1,
免修,免修,免修,011662019,Web前端框架技术,理论(4.0)-上机(2.0),选修课,2,跨专业交叉课,免修,免修,免修,免修,免修,2025-2026,1,,
完成,2025-2026,1,011674035,人工智能基础,理论(4.0)-上机(4.0),选修课,2,跨专业交叉课,93,4.3,93,否,否,2025-2026,1,,
免修,免修,免修,011522006,Java程序设计,理论(4.0)-上机(2.0),选修课,4,专业选修课,未修,免修,免修,免修,免修,2025-2026,1,1,
完成,2025-2026,1,011564035,Python程序设计,理论(4.0)-上机(4.0),选修课,4,专业选修课,93,4.3,93,否,否,2025-2026,1,1,
完成,2025-2026,2,011564033,H3CNE认证培训,理论(4.0)-上机(4.0),选修课,3.5,专业选修课,79,2.9,79,否,否,2025-2026,2,1,
完成,2025-2026,2,011564034,云计算技术与应用,理论(4.0)-上机(4.0),选修课,3.5,专业选修课,71,2.1,71,否,否,2025-2026,2,1,
完成,2024-2025,2,100051087,九型人格之职场心理,理论(2.0),选修课,2,公共选修课,通过,1,通过,否,否,,,,
完成,2024-2025,2,100051091,光影中国,理论(2.0),选修课,2,公共选修课,通过,1,通过,否,否,,,,
完成,2024-2025,2,100051092,宋崇导演教你拍摄微电影,理论(2.0),选修课,2,公共选修课,通过,1,通过,否,否,,,,
完成,2025-2026,2,100052058,大学语文,理论(4.0)-实训(4.0),选修课,2,公共选修课,84,3.4,84,否,否,,,,
